snr,config,seed,n,sync_fail,decode_fail,crc_fail,pass
10,warm_sync_light,"2026052001;2026052002;2026052003;2026052004",800,5,34,0,761
12,warm_sync_light,"2026052001;2026052002;2026052003",600,0,1,0,599
14,warm_sync_light,"2026052001;2026052002;2026052003;2026052004",800,0,0,0,800
16,warm_sync_light,"2026052001;2026052002;2026052003",600,0,0,0,600
18,warm_sync_light,"2026052001;2026052002;2026052003",600,0,0,0,600
20,warm_sync_light,"2026052001;2026052002;2026052003",600,0,0,0,600
